TIME,EKTH,HS_PART,WP_PART,WSPD_ECMWF,WDIR_ECMWF,BOT_DEPTH,DIST2COAST,Outlier_Label
2022-01-19 21:00:00,21.949482,0.77845216,256.9393,6.7732835,188.61671,-4155.2593,885.50745,0
2022-01-20 03:00:00,12.729863,0.6615879,252.32288,10.005961,64.50673,-4683.454,319.84616,0
2022-01-20 06:00:00,21.03953,0.7905042,279.52856,9.734001,170.23515,-3509.3528,329.45715,0
2022-01-20 09:00:00,17.880453,0.7234869,305.23666,7.750793,209.82712,-4676.68,735.1111,0
2022-01-20 12:00:00,3.3644695,0.48281255,267.72076,7.335,231.88374,-3959.938,720.625,0
2022-01-20 15:00:00,13.90517,0.68955976,263.15622,8.462695,188.04985,-4014.8618,662.87946,0
2022-01-20 18:00:00,5.5823936,0.51781034,194.68843,6.888096,114.57,-4122.574,245.14285,0
2022-01-20 21:00:00,17.723759,0.6696686,274.8608,6.02292,189.63087,-4131.3843,900.77875,0
2022-01-21 00:00:00,30.42204,1.2010001,237.7336,8.07,277.54498,-2934.081,357.5,1
2022-01-21 03:00:00,15.083859,0.73062134,261.0599,9.092078,164.63052,-5069.635,929.94806,0
2022-01-21 06:00:00,13.356248,0.65969557,235.1846,7.356274,173.4591,-3431.1975,396.5392,0
2022-01-21 09:00:00,21.482845,0.90777147,320.58215,8.953571,199.15964,-4476.0913,923.3929,0
2022-01-21 12:00:00,35.807686,0.92646325,352.11517,7.8933964,245.55359,-3581.4844,864.5472,1
2022-01-21 15:00:00,15.098914,0.7321182,276.1829,8.952906,170.004,-4697.935,536.5068,0
2022-01-21 18:00:00,12.339767,0.60827875,226.00107,7.367567,136.91487,-3014.582,224.83784,0
2022-01-21 21:00:00,15.634653,0.6992343,268.25204,7.3059793,177.55038,-4265.2275,973.4314,0
2022-01-22 00:00:00,88.302666,1.8307501,351.97427,11.746,256.28598,-3586.7375,519.4,1
2022-01-22 03:00:00,11.145368,0.6067418,255.13705,8.001943,64.500275,-4697.1377,274.58334,0
2022-01-22 06:00:00,26.407345,0.7649961,240.67001,8.095447,163.6735,-3392.6992,422.39285,0
2022-01-22 09:00:00,6.381972,0.58474195,267.2341,7.876551,290.81964,-4406.1997,969.931,0
2022-01-22 12:00:00,17.686577,0.7185414,273.4118,6.663055,193.57985,-3935.8918,1270.1805,0
2022-01-22 15:00:00,38.11506,0.9771034,312.95734,11.096394,234.11064,-4416.7437,1189.7705,1
2022-01-22 18:00:00,11.515236,0.63556594,254.48898,6.88,174.41292,-3717.5308,502.93332,0
2022-01-22 21:00:00,18.174976,0.7046951,325.40714,7.994643,209.1717,-3883.3867,822.0179,0
2022-01-23 03:00:00,26.273083,0.79700947,279.56482,8.685735,168.95927,-4760.81,769.92645,0
2022-01-23 06:00:00,26.097744,0.72796065,254.28789,7.323308,154.15732,-3663.3645,439.93076,0
2022-01-23 09:00:00,13.567917,0.65441394,291.25137,6.731136,205.55829,-4616.6294,903.2841,0
2022-01-23 12:00:00,31.28933,0.8369001,287.2788,8.079698,194.98181,-3817.1443,930.2273,0
2022-01-23 15:00:00,28.896835,0.8205692,282.39154,9.35813,174.93112,-4817.0527,644.6423,0
2022-01-23 18:00:00,15.886254,0.6078681,264.54184,7.0999994,71.21779,-3099.846,226.66667,0
2022-01-24 03:00:00,42.726807,0.9573426,261.04202,8.053917,159.31865,-4822.4746,821.6598,1
2022-01-24 06:00:00,16.509317,0.70744675,246.60535,7.1888566,189.45811,-3042.9438,341.9,0
2022-01-24 09:00:00,12.897832,0.7340124,275.88446,8.269048,206.25691,-4374.2803,784.6905,0
2022-01-24 12:00:00,9.606222,0.60283333,260.5105,11.376666,113.15,-4225.781,478.33334,0
2022-01-24 15:00:00,25.91844,0.8168666,274.46005,9.116348,196.05542,-4438.1177,758.1746,0
2022-01-24 18:00:00,11.711466,0.64860284,251.15186,6.1340384,190.10075,-3644.3538,289.96155,0
2022-01-25 03:00:00,35.45826,0.8379847,297.49536,7.8333898,147.84796,-4926.6436,468.0678,0
2022-01-25 06:00:00,14.219624,0.7068821,254.4844,7.537811,182.77563,-4066.0146,450.51096,0
2022-01-25 09:00:00,17.269278,0.7185316,275.96115,8.957539,206.56146,-4767.162,828.1475,0
2022-01-25 12:00:00,30.76385,0.8032049,278.3616,8.3855,213.0415,-4213.9165,963.55,0
2022-01-25 15:00:00,19.376389,0.78666985,261.6023,7.5466886,185.63751,-4101.908,609.1337,0
2022-01-25 18:00:00,12.75458,0.68845093,260.7205,8.1504,177.0214,-4466.866,714.02,0
2022-01-25 21:00:00,29.071947,0.82857066,280.8333,9.15,212.98772,-4487.273,1039.683,0
2022-01-26 00:00:00,51.427685,0.92199755,331.6839,7.971064,189.6902,-3507.82,680.8723,0
2022-01-26 03:00:00,23.526272,0.80961925,283.09497,7.40375,135.5385,-5041.0913,918.8125,0
2022-01-26 06:00:00,8.9504595,0.61960596,225.54436,5.6383333,167.87222,-3437.46,421.36667,0
2022-01-26 09:00:00,21.584173,0.81388485,299.92365,9.428697,232.71217,-4279.525,856.3913,0
2022-01-26 12:00:00,41.02896,0.9771733,320.02484,8.456413,220.94662,-4168.0493,1102.9783,1
2022-01-26 15:00:00,14.819975,0.706005,266.78635,7.405573,153.32925,-4618.012,660.54095,0
2022-01-26 18:00:00,7.918214,0.59301305,219.61365,6.238597,146.48212,-3577.4194,280.42105,0
2022-01-27 06:00:00,7.922216,0.6232387,236.36246,7.0902777,146.72342,-3408.358,318.73148,0
2022-01-27 09:00:00,25.969019,0.77185595,274.54645,9.184168,232.42267,-4485.32,679.8333,0
2022-01-27 12:00:00,36.341568,0.87172794,261.1623,8.68859,211.95653,-4050.5396,1145.1794,0
2022-01-27 15:00:00,14.657426,0.7193024,259.72528,7.9383445,202.05379,-4332.8423,702.5103,0
